Season,TeamID,ExtWL_Wins,ExtWL_Losses,ExtWL_Pushes,ExtWL_Games,ExtWL_WinPct,ExtWL_MOV,ExtWL_ATSPlusMinus,ExtATS_Wins,ExtATS_Losses,ExtATS_Pushes,ExtATS_Games,ExtATS_CoverPct,ExtATS_MOV,ExtATS_ATSPlusMinus,ExtOU_Overs,ExtOU_Unders,ExtOU_Pushes,ExtOU_Games,ExtOU_OverPct,ExtOU_UnderPct,ExtOU_TotalPlusMinus,ExtWL_WinsZ,ExtWL_LossesZ,ExtWL_PushesZ,ExtWL_GamesZ,ExtWL_WinPctZ,ExtWL_MOVZ,ExtWL_ATSPlusMinusZ,ExtATS_WinsZ,ExtATS_LossesZ,ExtATS_PushesZ,ExtATS_GamesZ,ExtATS_CoverPctZ,ExtATS_MOVZ,ExtATS_ATSPlusMinusZ,ExtOU_OversZ,ExtOU_UndersZ,ExtOU_PushesZ,ExtOU_GamesZ,ExtOU_OverPctZ,ExtOU_UnderPctZ,ExtOU_TotalPlusMinusZ,ExtCompositeSide,ExtCompositeTotal
2026,1310,8.0,22.0,0.0,30.0,0.267,-7.4,-1.1,13.0,16.0,0.0,29.0,0.44799999999999995,-7.4,-1.1,14.0,15.0,0.0,29.0,0.483,0.517,-0.7,-1.552110189150975,1.2305953690821725,0.0,-1.9586422791131262,-1.4925610833934593,-1.421289150136163,-0.5767313648508057,-0.8332754395571951,0.279543935368454,-0.6182533646242511,-1.0589563536035713,-0.6237037109583742,-1.421289150136163,-0.5767313648508057,-0.39179440814068994,-0.1913760703170774,-0.39786339563090345,-1.0581538148599035,-0.11291728043026039,0.11207347192063978,-0.44359363111564765,-1.157684953842477,-0.24506124942797222
2026,1311,14.0,19.0,0.0,33.0,0.424,-2.5,-0.3,15.0,17.0,0.0,32.0,0.469,-2.5,-0.3,17.0,15.0,0.0,32.0,0.531,0.469,1.4,-0.5116690155235997,0.6641800983192558,0.0,0.45657539614461057,-0.5674392619053443,-0.6643883506427949,-0.15540147108939642,-0.09773605518385477,0.6602660861501171,-0.6182533646242511,0.6288998431881486,-0.3705965029693897,-0.6643883506427949,-0.15540147108939642,0.6224251590320177,-0.1913760703170774,-0.39786339563090345,0.623527501934863,0.41016858766549935,-0.4109758695949691,0.25573692883939947,-0.48459001652299666,0.34851701642447985
2026,1312,16.0,17.0,0.0,33.0,0.485,-6.2,1.2,18.0,14.0,0.0,32.0,0.563,-6.2,1.2,14.0,18.0,0.0,32.0,0.43799999999999994,0.563,-2.5,-0.1648552909811412,0.28656991781064467,0.0,0.45657539614461057,-0.20799702553098118,-1.2359256890357462,0.6345920797132456,1.0055730213761556,-0.48190036619487214,-0.6182533646242511,0.6288998431881486,0.7623595708860635,-1.2359256890357462,0.6345920797132456,-0.39179440814068994,0.8258899345236995,-0.39786339563090345,0.623527501934863,-0.6033102817700351,0.6133290908730972,-1.043019825362831,-0.20230431407100866,-0.7806969205726129
2026,1313,15.0,17.0,0.0,32.0,0.469,2.6,-1.0,13.0,15.0,0.0,28.0,0.46399999999999997,2.6,-1.0,19.0,9.0,0.0,28.0,0.679,0.321,4.6,-0.33826215325237047,0.28656991781064467,0.0,-0.348497162274635,-0.30227695638327323,0.12340635903397605,-0.5240651281306294,-0.8332754395571951,-0.10117821541320905,-0.6182533646242511,-1.621575085867478,-0.4308601239191479,0.12340635903397605,-0.5240651281306294,1.298571537147156,-2.2259080799986313,-0.39786339563090345,-1.618714253791492,2.0230166809607573,-2.023711339268095,1.3213834963899473,-0.23821707123795088,1.742467605878534
2026,1314,24.0,8.0,0.0,32.0,0.75,8.5,0.7,19.0,13.0,0.0,32.0,0.594,8.5,0.7,13.0,19.0,0.0,32.0,0.406,0.594,-2.5,1.2223996071886927,-1.4126758944781055,0.0,-0.348497162274635,1.3535143292101048,1.034776709444358,0.37126089611236496,1.3733427135628258,-0.8626225169765352,-0.6182533646242511,0.6288998431881486,1.1359940207745645,1.034776709444358,0.37126089611236496,-0.7298675971982591,1.1649786028039584,-0.39786339563090345,0.623527501934863,-0.9520341938338737,0.9511317906019279,-1.043019825362831,1.0288143103955019,-0.9882930859606648
2026,1315,18.0,17.0,0.0,35.0,0.514,-0.7,1.5,21.0,11.0,0.0,32.0,0.6559999999999999,-0.7,1.5,15.0,16.0,1.0,32.0,0.484,0.516,1.3,0.18195843356131725,0.28656991781064467,0.0,2.066720512983102,-0.03711465086120182,-0.38634315899216976,0.7925907898737741,2.108882097936166,-1.6240668185398615,-0.6182533646242511,0.6288998431881486,1.883262920551565,-0.38634315899216976,0.7925907898737741,-0.05372121908312074,0.14771259796318156,2.022472261123759,0.623527501934863,-0.10201965817826539,0.1011766106390646,0.22243547360344487,0.31211452055841804,0.027888851665298843
2026,1316,7.0,25.0,0.0,32.0,0.21899999999999997,-8.6,1.1,17.0,12.0,0.0,29.0,0.586,-8.6,1.1,14.0,15.0,0.0,29.0,0.483,0.517,3.5,-1.7255170514222042,1.7970106398450891,0.0,-0.348497162274635,-1.7754008759503355,-1.6066526112365795,0.5819258429930695,0.6378033291894856,-1.2433446677581983,-0.6182533646242511,-1.0589563536035713,1.0395722272549512,-1.6066526112365795,0.5819258429930695,-0.39179440814068994,-0.1913760703170774,-0.39786339563090345,-1.0581538148599035,-0.11291728043026039,0.11207347192063978,0.9550674887944466,-0.8310650872667347,0.31440319853606546
2026,1317,19.0,14.0,0.0,33.0,0.5760000000000001,3.5,-0.7,17.0,14.0,0.0,31.0,0.5479999999999999,3.5,-0.7,15.0,16.0,0.0,31.0,0.484,0.516,-0.2,0.3553652958325465,-0.27984535295227203,0.0,0.45657539614461057,0.3282200811914299,0.2624289548592885,-0.366066417970101,0.6378033291894856,-0.48190036619487214,-0.6182533646242511,0.06628111092424198,0.5815687080367888,0.2624289548592885,-0.366066417970101,-0.05372121908312074,0.14771259796318156,-0.39786339563090345,0.06296706300327416,-0.10201965817826539,0.1011766106390646,-0.2770863549358746,0.20762773748628513,-0.17191987975042894
2026,1318,7.0,24.0,0.0,31.0,0.226,-6.1,-2.2,11.0,20.0,0.0,31.0,0.355,-6.1,-2.2,20.0,11.0,0.0,31.0,0.645,0.355,7.6,-1.7255170514222042,1.6082055495907837,0.0,-1.1535697206938806,-1.7341534062024577,-1.2204787339440448,-1.1560599687727433,-1.5688148239305353,1.8024325384951063,-0.6182533646242511,0.06628111092424198,-1.7446070606238757,-1.2204787339440448,-1.1560599687727433,1.6366447262047252,-1.5477307434381133,-0.39786339563090345,0.06296706300327416,1.6524975243929274,-1.653218055694539,2.3204271534685863,-1.4660003652022036,1.9197774557184326
2026,1319,10.0,22.0,0.0,32.0,0.313,-5.1,-2.7,14.0,15.0,0.0,29.0,0.483,-5.1,-2.7,11.0,18.0,0.0,29.0,0.379,0.621,-2.3,-1.2052964646085167,1.2305953690821725,0.0,-0.348497162274635,-1.22150628219312,-1.066009183027031,-1.419391152373624,-0.4655057473705249,-0.10117821541320905,-0.6182533646242511,-1.0589563536035713,-0.20185836431006668,-1.066009183027031,-1.419391152373624,-1.4060139753133976,0.8258899345236995,-0.39786339563090345,-1.0581538148599035,-1.2462699946377385,1.245347045204458,-0.9764169148909216,-1.0614869387969361,-1.1381903203240198
