model,feature,gain
margin_q25,Diff_Games,2.1736197471618652
margin_q25,Avg_BlkMean,2.1545796394348145
margin_q25,Diff_SOSOppWinPct,2.119621992111206
margin_q25,Avg_MarginMean,2.1089348793029785
margin_q25,Avg_ThreeRateMean,2.0775673389434814
margin_q25,Diff_Last5Score,2.059521198272705
margin_q25,Avg_PFMean,2.049893617630005
margin_q25,Avg_NetRatingMean,2.0096988677978516
margin_q25,Diff_Last10OffRating,2.0090668201446533
margin_q25,Avg_Last10OppScore,2.006990909576416
margin_q25,Avg_eFGMean,1.983370304107666
margin_q25,Diff_DRBRateMean,1.98021399974823
margin_q25,Avg_TRBRateMean,1.9728978872299194
margin_q25,Diff_ORBRateMean,1.9634125232696533
margin_q25,Avg_OppFG3PctMean,1.9448673725128174
margin_q25,Avg_SOSOppNetRating,1.9425106048583984
margin_q25,Diff_HomeWinPct,1.9219536781311035
margin_q25,Diff_SOSOppNetRating,1.9170005321502686
margin_q25,Avg_Wins,1.9149020910263062
margin_q25,Avg_SOSOppWinPct,1.9079818725585938
margin_q25,Avg_HomeWinPct,1.9055073261260986
margin_q25,Avg_MasseyMedianRank,1.9045265913009644
margin_q25,Diff_DefRatingMean,1.9014939069747925
margin_q25,Avg_StlMean,1.8751599788665771
margin_q25,Diff_AwayWinPct,1.8695220947265625
margin_q25,Avg_Last10Margin,1.867727279663086
margin_q25,Avg_Last10DefRating,1.8663582801818848
margin_q25,Diff_FTRateMean,1.8558191061019897
margin_q25,Diff_Last5Margin,1.8461050987243652
margin_q25,Diff_OppFG3PctMean,1.8383979797363281
margin_q25,Diff_NeutralGamePct,1.8291410207748413
margin_q25,Diff_PFMean,1.8137627840042114
margin_q25,Diff_TOMean,1.8118642568588257
margin_q25,Avg_MasseyMeanRank,1.8097479343414307
margin_q25,Avg_OppeFGMean,1.8073301315307617
margin_q25,Avg_DRBRateMean,1.80164635181427
margin_q25,Avg_Last5Score,1.8004350662231445
margin_q25,Avg_TSMean,1.7987642288208008
margin_q25,Avg_Last5OffRating,1.7878813743591309
margin_q25,Diff_WinPct,1.7818984985351562
margin_q25,Avg_MasseyBestRank,1.7723467350006104
margin_q25,Avg_Last5DefRating,1.7721147537231445
margin_q25,Diff_Last5OffRating,1.7521182298660278
margin_q25,Diff_NumOTMean,1.750585913658142
margin_q25,Diff_Last5OppScore,1.7502944469451904
margin_q25,Avg_FTRateMean,1.7356340885162354
margin_q25,Avg_PaceMean,1.7103378772735596
margin_q25,Diff_TSMean,1.6973214149475098
margin_q25,Avg_Last10WinPct,1.6967695951461792
margin_q25,Avg_OffRatingMean,1.6655364036560059
margin_q25,Avg_NeutralGamePct,1.6601155996322632
margin_q25,Avg_ORBRateMean,1.656603217124939
margin_q25,Diff_TOVRateMean,1.6295218467712402
margin_q25,Avg_NumOTMean,1.6235902309417725
margin_q25,Avg_Last5OppScore,1.6221160888671875
margin_q25,Diff_OppScoreMean,1.5944914817810059
margin_q25,Diff_MasseySystems,1.5857174396514893
margin_q25,Avg_OppScoreMean,1.581015944480896
margin_q25,Diff_Last10OppScore,1.5783623456954956
margin_q25,Avg_FG3PctMean,1.5776171684265137
margin_q25,Avg_FTPctMean,1.5672271251678467
margin_q25,Avg_ASTTOVMean,1.5604673624038696
margin_q25,Diff_ThreeRateMean,1.558814287185669
margin_q25,A_SeedNum,1.5530004501342773
margin_q25,Diff_OppeFGMean,1.523582100868225
margin_q25,Avg_WinPct,1.511382818222046
margin_q25,Avg_Losses,1.5080000162124634
margin_q25,Diff_Last10Score,1.5041141510009766
margin_q25,Diff_OffRatingMean,1.4967139959335327
margin_q25,Avg_TOMean,1.4894598722457886
margin_q25,Diff_eFGMean,1.489352822303772
margin_q25,Avg_Last5Margin,1.4799792766571045
margin_q25,Diff_NeutralWinPct,1.4783004522323608
margin_q25,Avg_MasseyStdRank,1.4645923376083374
margin_q25,Diff_AstMean,1.4413022994995117
margin_q25,Diff_BlkMean,1.4279885292053223
margin_q25,Diff_FG3PctMean,1.4042084217071533
margin_q25,Diff_Last5DefRating,1.3889873027801514
margin_q25,Diff_StlMean,1.3544018268585205
margin_q25,Avg_MarginStd,1.3528193235397339
margin_q25,Diff_PaceMean,1.3515716791152954
margin_q25,Avg_Last10Score,1.2858076095581055
margin_q25,Diff_FTPctMean,1.2827517986297607
margin_q25,Diff_Wins,1.258379340171814
margin_q25,Avg_Last5WinPct,1.2218272686004639
margin_q25,Diff_MarginStd,1.197519063949585
margin_q25,Avg_Last10NetRating,1.1798094511032104
margin_q25,Avg_TOVRateMean,1.0938392877578735
margin_q25,Avg_AwayWinPct,1.0734964609146118
margin_q25,Diff_ScoreMean,1.0619851350784302
margin_q25,Diff_Last10DefRating,1.0380029678344727
margin_q25,Diff_Last5WinPct,1.0325539112091064
margin_q25,Avg_Last5NetRating,0.9987971186637878
margin_q25,Diff_Last10WinPct,0.6974070072174072
margin_q25,Avg_Last10OffRating,0.6183469295501709
margin_q50,Diff_MasseyMeanRank,29.52934455871582
margin_q50,Diff_MasseyMedianRank,22.623092651367188
margin_q50,Diff_MasseyBestRank,11.276463508605957
margin_q50,Diff_SeedNum,10.831903457641602
margin_q50,Diff_MasseyWorstRank,9.863499641418457
margin_q50,Diff_MasseyStdRank,6.712469100952148
margin_q50,Diff_EloPeak,4.033538341522217
margin_q50,A_SeedNum,3.9394240379333496
margin_q50,Diff_EloEnd,3.8742992877960205
margin_q50,Diff_Losses,3.829770088195801
margin_q50,Avg_NumOTMean,3.736764430999756
margin_q50,Diff_SOSOppNetRating,3.5871620178222656
margin_q50,Avg_Last5NetRating,3.516984701156616
margin_q50,Avg_MasseyMedianRank,3.512904405593872
margin_q50,Avg_MasseyMeanRank,3.4985780715942383
margin_q50,Avg_NetRatingMean,3.253509044647217
margin_q50,Diff_FTRateMean,3.0732429027557373
margin_q50,Avg_EloEnd,3.068885087966919
margin_q50,Diff_OffRatingMean,3.0246498584747314
margin_q50,Avg_TSMean,2.9594151973724365
margin_q50,Avg_eFGMean,2.9527406692504883
margin_q50,Diff_PFMean,2.94429087638855
margin_q50,Diff_MasseySystems,2.845850944519043
margin_q50,Diff_ORBRateMean,2.807732582092285
margin_q50,Avg_HomeWinPct,2.7755253314971924
margin_q50,Diff_Games,2.7684237957000732
margin_q50,Avg_ScoreMean,2.718126058578491
margin_q50,Diff_Last5WinPct,2.69132137298584
margin_q50,Diff_NetRatingMean,2.6797828674316406
margin_q50,Diff_PaceMean,2.6622588634490967
margin_q50,Avg_MasseySystems,2.652703285217285
margin_q50,Diff_SOSOppWinPct,2.645590305328369
margin_q50,Avg_Last5Score,2.619736671447754
margin_q50,Diff_Last10DefRating,2.619332790374756
margin_q50,Avg_OppScoreMean,2.5916078090667725
margin_q50,Avg_ThreeRateMean,2.5758767127990723
margin_q50,Diff_TSMean,2.566070079803467
margin_q50,Avg_SOSOppNetRating,2.5350403785705566
margin_q50,Diff_NumOTMean,2.53057861328125
margin_q50,Avg_BlkMean,2.5291943550109863
margin_q50,Avg_Last5OppScore,2.511470317840576
margin_q50,Diff_StlMean,2.480889081954956
margin_q50,Diff_TOVRateMean,2.471290111541748
margin_q50,Avg_NeutralWinPct,2.447627067565918
margin_q50,Avg_DefRatingMean,2.4473073482513428
margin_q50,Diff_Last5OffRating,2.4356119632720947
margin_q50,Diff_Last5OppScore,2.4151830673217773
margin_q50,Avg_Last5DefRating,2.405506134033203
margin_q50,Diff_Last10NetRating,2.404695749282837
margin_q50,Avg_StlMean,2.390089988708496
margin_q50,Diff_OppFG3PctMean,2.3876566886901855
margin_q50,Avg_Last5Margin,2.384706974029541
margin_q50,Diff_OppeFGMean,2.3647220134735107
margin_q50,Avg_Last10DefRating,2.363251209259033
margin_q50,Avg_Last5OffRating,2.3413801193237305
margin_q50,Diff_NeutralGamePct,2.3267080783843994
margin_q50,Avg_PFMean,2.3266441822052
margin_q50,Avg_TOVRateMean,2.3121395111083984
margin_q50,Avg_FG3PctMean,2.3103647232055664
margin_q50,Diff_TOMean,2.2964015007019043
margin_q50,Diff_ASTTOVMean,2.258751630783081
margin_q50,Diff_AstMean,2.2544734477996826
margin_q50,B_SeedNum,2.2483718395233154
margin_q50,Avg_PaceMean,2.232691526412964
margin_q50,Diff_MarginMean,2.22414493560791
margin_q50,Avg_MarginMean,2.2111384868621826
margin_q50,Avg_ORBRateMean,2.208252191543579
margin_q50,Diff_Last10OppScore,2.186203956604004
margin_q50,Avg_SOSOppWinPct,2.180050849914551
margin_q50,Avg_ASTTOVMean,2.1730477809906006
margin_q50,Diff_WinPct,2.167985677719116
margin_q50,Avg_Last10NetRating,2.147406578063965
margin_q50,Avg_NeutralGamePct,2.1458778381347656
margin_q50,Avg_AstMean,2.108158588409424
margin_q50,Diff_HomeWinPct,2.091113805770874
margin_q50,Avg_Last10Margin,2.0606260299682617
margin_q50,Avg_AwayWinPct,2.053035020828247
margin_q50,Avg_MarginStd,2.044485330581665
margin_q50,Diff_AwayWinPct,2.0261993408203125
margin_q50,Avg_FTRateMean,2.025871515274048
margin_q50,Avg_EloPeak,2.012054920196533
margin_q50,Avg_MasseyWorstRank,2.0118398666381836
margin_q50,Diff_FTPctMean,1.979414939880371
margin_q50,Avg_OppFG3PctMean,1.9784828424453735
margin_q50,Diff_Last10OffRating,1.9740079641342163
margin_q50,Avg_OffRatingMean,1.9728864431381226
margin_q50,Diff_Last5DefRating,1.953235149383545
margin_q50,Diff_DefRatingMean,1.9498891830444336
margin_q50,Diff_eFGMean,1.946608304977417
margin_q50,Diff_Last10Score,1.9338945150375366
margin_q50,Diff_Last5Score,1.9033136367797852
margin_q50,Diff_BlkMean,1.9016863107681274
margin_q50,Avg_Last10Score,1.8850778341293335
margin_q50,Diff_DRBRateMean,1.884638786315918
margin_q50,Avg_Losses,1.8730072975158691
margin_q50,Avg_Last10OppScore,1.8666486740112305
margin_q50,Diff_TRBRateMean,1.8420658111572266
margin_q50,Avg_FTPctMean,1.8385566473007202
margin_q50,Diff_ScoreMean,1.8263838291168213
margin_q50,Avg_TRBRateMean,1.8031911849975586
margin_q50,Diff_OppScoreMean,1.7200396060943604
margin_q50,Avg_Wins,1.7157795429229736
margin_q50,Diff_Last5Margin,1.7056115865707397
margin_q50,Avg_WinPct,1.7022550106048584
margin_q50,Avg_OppeFGMean,1.6835623979568481
margin_q50,Diff_Last5NetRating,1.6835403442382812
margin_q50,Avg_Last10WinPct,1.6411714553833008
margin_q50,Diff_FG3PctMean,1.6124238967895508
margin_q50,Avg_MasseyStdRank,1.59794282913208
margin_q50,Avg_DRBRateMean,1.5703794956207275
margin_q50,Diff_ThreeRateMean,1.535652995109558
margin_q50,Diff_MarginStd,1.5149632692337036
margin_q50,Avg_IsPlayInSeed,1.5119199752807617
margin_q50,Diff_NeutralWinPct,1.4717930555343628
margin_q50,Avg_MasseyBestRank,1.4455206394195557
margin_q50,Avg_SeedNum,1.2170844078063965
margin_q50,Diff_Wins,0.2561159133911133
margin_q75,Diff_MasseyWorstRank,16.407602310180664
margin_q75,Diff_MasseyMeanRank,16.275531768798828
margin_q75,Diff_EloPeak,8.628857612609863
margin_q75,Diff_SeedNum,7.013974189758301
margin_q75,Diff_MasseyStdRank,6.66903829574585
margin_q75,Diff_MasseyBestRank,5.697183132171631
margin_q75,Diff_MasseyMedianRank,5.459282398223877
margin_q75,Diff_EloEnd,4.8982720375061035
margin_q75,Avg_MasseyMeanRank,4.1439337730407715
margin_q75,Avg_EloEnd,3.06245756149292
margin_q75,Diff_NetRatingMean,2.916635513305664
margin_q75,Avg_NetRatingMean,2.8458290100097656
margin_q75,Avg_SOSOppNetRating,2.720414876937866
margin_q75,A_SeedNum,2.7013943195343018
margin_q75,Diff_Last10OffRating,2.652096748352051
margin_q75,Avg_Last10NetRating,2.6037299633026123
margin_q75,B_SeedNum,2.5850772857666016
margin_q75,Avg_Last5OppScore,2.5288822650909424
margin_q75,Avg_Last10Margin,2.5285022258758545
margin_q75,Avg_ScoreMean,2.5257728099823
margin_q75,Avg_MasseyMedianRank,2.5129525661468506
margin_q75,Diff_TOVRateMean,2.443340301513672
margin_q75,Diff_TOMean,2.4232139587402344
margin_q75,Diff_SOSOppNetRating,2.3808043003082275
margin_q75,Avg_MasseySystems,2.3760898113250732
margin_q75,Avg_AstMean,2.3752567768096924
margin_q75,Avg_SeedNum,2.3726255893707275
margin_q75,Diff_Last5NetRating,2.3535592555999756
margin_q75,Diff_MasseySystems,2.337937355041504
margin_q75,Diff_Games,2.3332149982452393
margin_q75,Diff_Last10Score,2.270305633544922
