Team,ATS Record,Cover %,MOV,ATS +/-
Ball St,14-14-1,50.0%,-2.0,0.3
Bowling Green,14-14-1,50.0%,9.8,-0.1
Alabama A&M,15-15-0,50.0%,-0.5,-0.1
Miss Valley St,16-16-0,50.0%,-18.8,0.4
Wofford,15-15-0,50.0%,1.6,-1.0
The Citadel,15-15-0,50.0%,-7.2,-0.2
VCU,17-17-0,50.0%,10.1,0.8
Old Dominion,16-16-0,50.0%,-1.7,0.7
Maryland ES,15-15-0,50.0%,-6.4,0.2
UNLV,16-16-0,50.0%,0.8,-0.5
Montana,15-15-0,50.0%,2.7,-0.4
Arkansas St,15-15-0,50.0%,5.8,-0.5
W Kentucky,15-15-0,50.0%,3.2,-0.8
Colorado,16-16-0,50.0%,0.5,-0.8
Texas Tech,16-16-0,50.0%,7.8,0.1
Tenn Tech,14-14-0,50.0%,-1.2,-0.4
Austin Peay,14-14-1,50.0%,8.4,1.3
San Jose St,16-16-0,50.0%,-6.5,0.4
High Point,15-15-1,50.0%,19.7,0.7
Butler,16-16-0,50.0%,1.8,-0.5
Columbia,13-13-0,50.0%,5.0,0.0
Kentucky,17-17-0,50.0%,6.9,-1.1
Tarleton St,14-14-0,50.0%,1.1,0.0
LIU,17-17-0,50.0%,3.0,1.3
St Thomas,15-15-0,50.0%,11.0,1.3
Georgia So,17-18-0,48.6%,1.2,-0.1
Maryland,16-17-0,48.5%,-6.9,-2.6
Oregon St,16-17-0,48.5%,-3.0,-0.1
Louisville,16-17-0,48.5%,12.6,0.3
Xavier,16-17-0,48.5%,-2.3,-1.2
Oklahoma,16-17-1,48.5%,5.6,1.0
Oklahoma St,16-17-0,48.5%,1.4,0.0
Washington St,15-16-0,48.4%,-1.4,-0.5
UAB,15-16-0,48.4%,5.4,-0.5
Grambling,15-16-0,48.4%,0.2,-1.0
Richmond,15-16-0,48.4%,2.8,0.2
Bethune,15-16-0,48.4%,-1.6,-0.6
San Diego St,15-16-0,48.4%,7.2,-0.7
Boston College,15-16-0,48.4%,-3.3,-0.3
Notre Dame,15-16-0,48.4%,-0.9,-0.9
Georgia,15-16-1,48.4%,10.7,1.2
W Carolina,14-15-0,48.3%,1.1,1.8
N Arizona,14-15-0,48.3%,-5.1,-2.7
New Mexico St,14-15-0,48.3%,3.1,-1.4
Charleston So,14-15-0,48.3%,3.3,2.0
