Round,GameDateET,TipTimeET,Network,Region,Slot,TeamA,TeamB,TeamAID,TeamBID,SeedA,SeedB,Notes,EventID,CommenceTimeUTC,MarketMoneylineTeamA,MarketMoneylineTeamB,MarketSpreadTeamA,MarketSpreadPriceA,MarketSpreadPriceB,MarketTotal,MarketOverPrice,MarketUnderPrice,MarketProbTeamA,MarketProbTeamB,MarketBookCount,MoneylineHold,SpreadHold,TotalHold,OddsBundleMatchStatus,Season,OfficialTeamA,OfficialTeamB,GameLabel,TipDateTimeET,ScheduleGroup,RegionLetter,StrongSeed,WeakSeed,TeamASeed,TeamBSeed,NeedsPlayInWinner,PendingSeedBase,PendingFromGame,ScenarioLabel,ScenarioFromPlayIn
First Round,2026-03-20,4:25 PM,TBS,Midwest,R1Y6,Tennessee,SMU,1397,1374.0,,,,,,,,,,,,,,,,,,,,missing,2026,Tennessee,SMU,Tennessee vs. SMU,2026-03-20 04:25 PM ET,round1_playin_scenarios_runnable_now,Y,Y06,Y11,Y06,Y11b,False,Y11,Winner of Miami OH vs SMU,Tennessee vs SMU,True
First Round,2026-03-20,9:25 PM,TNT,South,R1X1,Florida,Prairie View,1196,1341.0,,,,,,,,,,,,,,,,,,,,missing,2026,Florida,Prairie View A&M,Florida vs. Prairie View A&M,2026-03-20 09:25 PM ET,round1_playin_scenarios_runnable_now,X,X01,X16,X01,X16b,False,X16,Winner of Prairie View vs Lehigh,Florida vs Prairie View,True
First Round,2026-03-20,9:25 PM,TNT,South,R1X1,Florida,Lehigh,1196,1250.0,,,,,,,,,,,,,,,,,,,,missing,2026,Florida,Lehigh,Florida vs. Lehigh,2026-03-20 09:25 PM ET,round1_playin_scenarios_runnable_now,X,X01,X16,X01,X16a,False,X16,Winner of Prairie View vs Lehigh,Florida vs Lehigh,True
First Round,2026-03-19,12:15 PM,CBS,East,R1W8,Ohio St,TCU,1326,1395.0,,,,ffe3c0fdb29507477476637fcbc795cf,2026-03-19T16:15:00Z,-142.0,120.0,-2.5,,,146.5,,,,,,,,,exact,2026,Ohio State,TCU,Ohio State vs. TCU,2026-03-19 12:15 PM ET,round1_official_reference,W,W08,W09,W08,W09,False,,,,
First Round,2026-03-19,12:40 PM,truTV,South,R1X4,Nebraska,Troy,1304,1407.0,,,,df39114e937cbae1271ab4267afae55d,2026-03-19T16:40:00Z,-1000.0,650.0,-13.0,,,137.5,,,,,,,,,exact,2026,Nebraska,Troy,Nebraska vs. Troy,2026-03-19 12:40 PM ET,round1_official_reference,X,X04,X13,X04,X13,False,,,,
First Round,2026-03-19,1:30 PM,TNT,East,R1W6,Louisville,South Florida,1257,1378.0,,,,f7b3bd4eccbe852bda4d3446090eedad,2026-03-19T17:30:00Z,-225.0,185.0,-5.5,,,165.5,,,,,,,,,exact,2026,Louisville,South Florida,Louisville vs. South Florida,2026-03-19 01:30 PM ET,round1_official_reference,W,W06,W11,W06,W11,False,,,,
First Round,2026-03-19,1:50 PM,TBS,West,R1Z5,Wisconsin,High Point,1458,1219.0,,,,5ee2959a7e3a36958ec1948e2911d209,2026-03-19T17:50:00Z,-480.0,363.0,-10.0,,,164.5,,,,,,,,,exact,2026,Wisconsin,High Point,Wisconsin vs. High Point,2026-03-19 01:50 PM ET,round1_official_reference,Z,Z05,Z12,Z05,Z12,False,,,,
First Round,2026-03-19,2:50 PM,CBS,East,R1W1,Duke,Siena,1181,1373.0,,,,65e6158d4f85c02c5909322558981536,2026-03-19T18:50:50Z,-50000.0,5000.0,-29.5,,,136.0,,,,,,,,,exact,2026,Duke,Siena,Duke vs. Siena,2026-03-19 02:50 PM ET,round1_official_reference,W,W01,W16,W01,W16,False,,,,
First Round,2026-03-19,3:15 PM,truTV,South,R1X5,Vanderbilt,McNeese St,1435,1270.0,,,,9957c1ba3bbf4571f8ae879f4c5f8191,2026-03-19T19:15:00Z,-650.0,460.0,-11.5,,,150.5,,,,,,,,,exact,2026,Vanderbilt,McNeese,Vanderbilt vs. McNeese,2026-03-19 03:15 PM ET,round1_official_reference,X,X05,X12,X05,X12,False,,,,
First Round,2026-03-19,4:05 PM,TNT,East,R1W3,Michigan St,N Dakota St,1277,1295.0,,,,e1392b7328ef7749e85605ddae5ab7cf,2026-03-19T20:05:59Z,-1900.0,1011.0,-16.5,,,143.5,,,,,,,,,exact,2026,Michigan State,North Dakota State,Michigan State vs. North Dakota State,2026-03-19 04:05 PM ET,round1_official_reference,W,W03,W14,W03,W14,False,,,,
